Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity,Dystopia Residual,Year,Social support,Perceptions of corruption,Logged GDP per capita,Healthy life expectancy,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Dystopia (1.83) + residual,Explained by: GDP per capita
Luxembourg,13,56.65,8.19,3.72,4.52,4.73,1.05,1.19,5.7,16148,4.81,1.39,23.1,145.2,4.4,3.29,3.55,2.54,1.95,0.48,1.11,4.81,2.04,2.21
Costa Rica,14,56.4,5.18,3.68,4.16,4.82,0.31,0.75,9.43,16148,4.69,1.79,19.54,142.7,4.4,2.12,3.39,2.41,1.98,0.33,0.28,6.34,2.35,1.58
Ireland,15,56.04,7.3,4.09,4.39,4.63,0.88,2.16,5.91,16148,5.03,1.34,22.5,144.7,4.4,3.09,3.73,2.51,1.82,0.72,1.15,4.33,1.74,2.13
Germany,16,55.91,6.98,3.87,4.35,4.54,0.78,1.55,6.64,16148,4.73,1.46,21.61,144.7,4.4,2.79,3.45,2.51,1.75,0.61,0.97,5.12,2.14,1.92
United States,17,55.86,7.28,3.71,4.11,4.21,0.44,2.02,7.46,16148,4.76,1.66,21.95,136.5,4.4,2.91,3.62,2.08,1.66,0.77,0.48,5.15,2.21,1.98
United Kingdom,18,55.72,6.69,3.87,4.41,4.21,0.86,2.62,5.82,16148,4.84,1.25,21.31,144.8,4.4,2.7,3.66,2.48,1.7,1.0,0.96,4.83,1.97,1.87
Belgium,19,55.11,6.88,3.8,4.41,4.29,0.74,0.81,7.15,16148,4.8,1.71,21.5,144.2,4.4,2.76,3.5,2.48,1.48,0.28,0.6,5.21,2.28,1.91
United Arab Emirates,20,53.65,8.23,3.26,3.76,4.57,1.07,1.54,6.2,16148,3.78,1.37,22.19,134.42,4.4,2.99,3.09,2.01,2.02,0.72,0.69,4.59,1.81,2.0
France,21,52.62,6.72,3.65,4.58,4.09,0.56,0.31,6.69,16148,4.82,1.51,21.29,147.8,4.4,2.69,3.76,2.64,1.62,0.27,0.73,4.57,1.9,1.86
Mexico,22,52.54,5.4,2.84,3.86,3.9,0.53,0.2,10.0,16148,4.24,1.77,19.66,136.9,4.4,2.15,2.94,2.09,1.76,0.27,0.29,5.62,2.24,1.55
Malta,23,52.49,6.43,3.89,4.4,4.8,0.46,2.75,5.2,16148,4.91,1.6,21.21,144.4,4.4,2.66,3.67,2.51,1.98,0.79,0.53,4.22,1.63,1.84
Brazil,24,52.29,5.17,3.7,3.4,3.82,0.43,0.5,9.54,16148,4.69,1.7,19.14,133.08,4.4,1.98,3.35,1.95,1.54,0.4,0.36,5.59,2.36,1.46
Singapore,25,51.95,7.96,3.24,5.07,4.62,1.43,1.53,5.1,16148,4.74,1.1,22.88,153.76,4.4,3.21,3.54,2.89,1.97,0.56,1.67,2.32,0.93,2.15
Chile,26,51.52,5.87,3.31,4.22,3.47,0.33,1.25,8.14,16148,4.46,1.79,20.1,139.9,4.4,2.3,3.35,2.32,1.32,0.44,0.2,4.97,2.04,1.65
Uruguay,27,51.5,5.68,3.65,3.91,4.66,0.64,0.65,7.17,16148,4.77,1.53,19.91,138.1,4.4,2.24,3.65,2.18,1.88,0.36,0.68,4.77,1.97,1.62
Panama,28,51.48,5.74,3.56,3.88,4.45,0.25,0.61,8.16,16148,4.68,1.82,20.38,139.26,4.4,2.4,3.46,2.25,1.77,0.23,0.16,4.73,2.09,1.72
Saudi Arabia,29,51.3,7.2,3.22,3.33,3.82,0.9,0.3,7.12,16148,4.45,1.63,21.54,132.91,4.4,2.77,3.37,1.91,1.8,0.26,0.51,4.87,2.08,1.87
Spain,30,51.12,6.49,3.98,4.75,3.57,0.2,0.71,6.45,16148,4.88,1.66,21.03,149.1,4.4,2.61,3.69,2.69,1.39,0.4,0.38,4.51,1.89,1.81
Guatemala,31,50.81,4.03,3.17,3.08,4.57,0.26,1.12,8.84,16148,4.17,1.71,17.98,129.77,4.4,1.6,2.8,1.75,1.91,0.45,0.32,6.26,2.75,1.27
Argentina,32,50.17,5.56,3.75,3.8,4.07,0.22,0.08,8.58,16148,4.7,1.78,19.77,137.8,4.4,2.19,3.45,2.16,1.62,0.22,0.21,4.53,1.89,1.59
Bahrain,33,50.09,6.95,3.48,3.63,4.43,0.82,1.24,5.67,16148,4.47,1.69,21.35,138.0,4.4,2.71,3.24,2.13,1.96,0.73,0.42,4.38,2.09,1.85
Colombia,34,49.66,4.96,3.66,3.36,4.13,0.15,0.39,8.65,16148,4.58,1.78,19.06,135.7,4.4,1.95,3.13,2.15,1.63,0.28,0.19,5.22,1.97,1.45
Slovakia,35,49.54,6.23,3.86,3.86,3.05,0.09,0.43,6.95,16148,4.9,1.86,20.72,138.11,4.4,2.5,3.72,2.21,1.37,0.34,0.05,4.97,2.09,1.74
Italy,36,49.45,6.56,3.68,4.64,2.58,0.08,0.74,6.19,16148,4.76,1.8,21.1,147.4,4.4,2.63,3.34,2.62,1.11,0.39,0.15,5.04,2.22,1.83
Thailand,37,49.31,5.25,3.74,3.57,4.62,0.09,3.01,6.94,16148,4.6,1.84,19.55,134.65,4.4,2.11,3.4,2.09,1.84,1.07,0.09,4.14,1.6,1.54
