Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity,Dystopia Residual,Year,Social support,Perceptions of corruption,Logged GDP per capita,Healthy life expectancy,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Dystopia (1.83) + residual,Explained by: GDP per capita
Namibia,131,31.83,3.65,1.8,1.53,3.41,0.2,-0.06,3.4,14133,4.26,1.82,18.36,113.3,4.4,1.72,2.92,1.02,1.24,0.23,0.18,3.57,1.41,1.29
Madagascar,132,31.44,1.33,2.04,2.17,2.0,0.22,0.95,5.59,16148,3.18,1.71,14.68,118.41,4.4,0.51,1.97,1.22,0.6,0.52,0.32,4.76,2.15,0.67
Malawi,133,30.3,0.71,1.07,1.64,3.87,0.22,1.42,7.72,16148,2.18,1.63,14.02,115.54,4.4,0.29,0.98,1.13,1.45,0.57,0.42,3.74,1.66,0.65
Togo,134,30.13,1.33,0.57,1.44,3.09,0.32,0.91,5.54,16148,2.17,1.72,14.72,109.63,4.4,0.52,1.11,0.91,0.88,0.58,0.35,5.22,2.06,0.77
Botswana,135,29.57,5.27,3.22,1.69,4.1,0.33,-0.1,2.81,16148,3.88,1.77,19.49,118.19,4.4,2.1,2.62,1.11,1.62,0.07,0.29,0.91,0.19,1.5
Yemen,136,29.51,2.45,2.09,1.83,2.42,0.19,0.18,5.24,16148,3.89,1.74,15.34,113.85,4.4,0.72,3.05,1.07,0.84,0.28,0.27,2.89,1.56,0.69
Zimbabwe,137,29.47,1.72,2.83,1.37,3.0,0.26,0.73,6.48,16148,3.72,1.82,15.81,111.82,4.4,0.88,2.39,0.89,1.07,0.41,0.26,2.05,0.55,0.95
Tanzania,138,28.13,2.2,2.82,1.98,3.59,0.17,1.85,3.38,16148,3.27,1.44,15.84,115.5,4.4,0.89,2.01,1.17,1.64,0.83,0.7,1.98,0.74,0.85
Rwanda,139,27.19,1.61,2.34,2.09,4.71,1.51,1.25,2.18,16148,2.7,1.21,15.28,122.5,4.4,0.71,0.86,1.44,1.85,0.65,1.52,1.64,0.54,0.78
Lesotho,140,26.99,1.86,2.23,0.32,2.94,0.24,0.27,4.23,14132,3.95,1.98,15.89,96.7,4.4,0.91,2.67,0.11,1.23,0.28,0.08,3.25,1.31,0.84
Haiti,141,26.66,1.61,1.68,1.68,1.58,0.42,3.06,6.31,14126,2.54,1.62,14.89,111.3,4.4,0.58,0.82,0.6,0.43,0.93,0.3,3.68,0.0,0.0
Congo (Kinshasa),142,26.04,0.31,3.04,1.04,1.9,0.2,1.24,7.84,12105,2.93,0.91,6.69,52.9,1.97,0.06,0.83,0.28,0.36,0.25,0.08,2.44,0.0,0.0
Taiwan Province of China,143,25.97,1.43,1.38,0.79,1.92,0.06,0.12,2.13,8080,1.79,1.45,21.65,139.2,4.4,2.81,3.43,2.28,1.48,0.37,0.44,4.85,2.0,1.9
Macedonia,144,25.65,3.96,2.99,2.72,2.07,0.18,0.87,5.45,10086,2.06,0.95,9.51,67.5,1.97,0.94,1.18,0.8,0.41,0.19,0.02,1.62,0.0,0.0
Bhutan,145,25.62,4.12,3.35,2.7,2.49,0.49,2.17,4.61,10085,2.66,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwan,146,25.56,5.42,2.0,3.44,1.49,0.15,0.9,4.94,8068,2.87,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,147,25.07,0.79,1.4,1.17,1.62,0.38,0.8,4.21,12113,2.01,1.64,15.86,114.7,4.4,0.9,1.57,1.14,0.57,0.69,0.33,4.78,2.3,0.9
Afghanistan,148,25.06,1.79,0.99,1.27,1.37,0.23,1.14,6.25,16148,1.99,1.92,15.16,105.08,4.4,0.67,0.36,0.68,0.0,0.35,0.02,3.4,1.26,0.76
Trinidad and Tobago,149,24.7,3.9,3.55,1.66,2.42,0.03,0.96,6.84,8068,0.92,0.91,10.26,63.5,1.97,1.17,1.41,0.66,0.55,0.2,0.02,2.19,0.0,0.0
Burundi,150,22.95,0.31,1.28,1.06,1.76,0.28,0.89,5.62,14126,2.05,1.47,13.13,106.8,4.4,0.0,0.47,0.45,0.57,0.36,0.42,5.28,0.0,0.0
Hong Kong,151,21.79,5.74,1.93,4.12,2.04,0.69,1.3,1.58,8068,2.57,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,152,20.24,0.02,1.06,0.61,2.4,0.59,1.04,6.96,8070,1.41,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,153,19.48,0.31,0.0,0.43,1.81,0.0,1.04,0.0,8082,2.32,1.6,15.01,110.17,4.4,0.62,2.01,0.93,1.15,1.28,0.38,5.26,2.53,0.78
Belize,154,17.87,2.59,1.77,1.38,1.65,0.2,0.66,5.71,6051,1.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swaziland,155,17.7,1.52,1.07,0.08,1.91,0.03,-0.13,2.49,8075,2.69,1.55,18.23,102.02,4.4,1.68,1.76,0.29,0.62,0.13,0.29,3.84,0.0,0.0
Sudan,156,16.97,2.42,3.05,1.27,0.13,0.34,0.69,6.01,8066,1.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syria,157,16.46,3.5,1.02,2.83,0.41,0.51,2.16,2.21,10085,0.76,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong S.A.R. of China,158,16.41,0.0,0.0,0.0,1.5,0.0,0.2,0.0,6063,1.68,0.82,21.93,153.59,4.4,2.9,3.04,2.97,1.27,0.67,1.06,1.91,0.64,1.96
South Sudan,159,16.35,1.43,0.79,0.79,0.92,0.25,0.99,4.39,10090,1.74,0.96,7.43,51.0,1.97,0.29,0.55,0.21,0.07,0.21,0.11,1.38,0.0,0.0
Central African Republic,160,16.01,0.13,0.0,0.2,1.93,0.14,1.05,4.79,10089,0.32,0.96,6.63,45.2,1.97,0.04,0.0,0.0,0.29,0.25,0.03,2.86,0.0,0.0
North Macedonia,161,15.57,0.98,0.0,0.84,1.1,0.0,0.22,0.0,6062,2.1,0.94,9.69,65.47,2.43,1.07,1.64,1.17,0.94,0.43,0.05,2.04,1.46,1.5
Angola,162,15.49,3.19,2.63,0.54,0.11,0.23,0.42,5.66,8066,1.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suriname,163,12.54,2.09,1.75,1.12,1.12,0.26,0.34,5.86,4031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad & Tobago,164,12.38,2.45,0.0,1.28,1.06,0.0,0.36,0.0,4037,2.97,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Cyprus,165,11.55,2.49,0.0,1.95,0.91,0.0,0.37,0.0,4037,2.46,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maldives,166,10.4,0.0,0.0,0.0,1.71,0.0,0.06,0.0,4041,1.83,1.65,19.34,141.2,4.4,2.05,2.42,1.61,1.12,0.43,0.14,2.62,0.0,0.0
Puerto Rico,167,7.04,1.36,1.08,0.78,0.47,0.12,0.22,3.01,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,168,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.72,0.66,0.16,0.05,0.0,2.26,1.82
Oman,169,6.85,1.36,1.08,0.76,0.63,0.33,0.22,2.47,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hong Kong S.A.R., China",170,5.47,1.55,1.26,0.94,0.49,0.29,0.37,0.55,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,171,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.36,0.43,0.13,0.15,0.0,2.66,0.95
Somaliland Region,172,5.06,0.26,0.76,0.33,0.39,0.37,0.51,2.44,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somaliland region,172,5.06,0.19,0.95,0.44,0.47,0.4,0.5,2.11,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eswatini, Kingdom of",174,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.2,0.26,0.04,0.15,0.0,1.69,1.27
Djibouti,175,4.37,0.44,0.59,0.36,0.46,0.28,0.18,2.05,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
